"",".rownames","price_3_nights","neigh_simp","number_of_reviews","reviews_per_month",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid","obs_num"
"48","48",755,"City of Santa Cruz",62,1.01,950.913492699255,-195.913492699255,0.00679371965796612,844.755096304494,6.18701584459615e-05,-0.232960428757088,48
"49","49",909.02,"City of Santa Cruz",70,0.8,930.417444566607,-21.397444566607,0.00754312531449934,844.806693411158,8.20683458534623e-07,-0.0254532724404027,49
"50","50",1812,"City of Santa Cruz",6,0.07,1059.90921064245,752.090789357547,0.00814626285542444,844.03636123099,0.00109629521252512,0.894919541187235,50
"51","51",739.9,"City of Santa Cruz",20,0.23,1031.58735732931,-291.68735732931,0.00765675497615117,844.691454712607,0.000154838855213706,-0.346995773668602,51
"52","52",286.9,"City of Santa Cruz",14,0.17,1043.8479143295,-756.947914329496,0.00781859494227005,844.026624569026,0.00106512938647163,-0.900550337313212,52
"53","53",1283.5,"City of Santa Cruz",102,1.18,865.886146294153,417.613853705847,0.00876438179134547,844.569538472987,0.00036411712943111,0.497077363271217,53
"54","54",679.5,"Other",13,0.16,510.241414445146,169.258585554854,0.0917135957991196,844.764695380713,0.000745441101677124,0.210463524433317,54
"55","55",854.66,"City of Santa Cruz",196,2.34,676.951329851435,177.708670148565,0.018275671482077,844.76384804495,0.000140163616817779,0.212545237620782,55
"56","56",477.16,"Unincorporated Areas",94,1.12,1065.20793376284,-588.047933762836,0.0066854247971001,844.336775388713,0.000548409127763094,-0.699208763032443,56
"57","57",1510,"City of Santa Cruz",5,0.06,1061.95263680915,448.047363190849,0.00818494248931085,844.533773729649,0.000390954228971054,0.533145951134045,57
"58","58",567.76,"Unincorporated Areas",175,2.09,901.979318425315,-334.219318425315,0.0137827674556594,844.654254541295,0.000370491441166486,-0.398825385889271,58
"59","59",1108.34,"City of Capitola",122,1.49,1026.88832168463,81.4516783153726,0.0212548900853708,844.798157302951,3.44543097675976e-05,0.0975669599225884,59
"60","60",604,"Unincorporated Areas",7,0.23,1242.69989724492,-638.699897244921,0.00602929641661646,844.252562136973,0.000582689223281345,-0.759184954205645,60
"61","61",232.54,"Other",33,0.45,470.660399704003,-238.120399704003,0.0916556570530592,844.722963386394,0.0014742640501789,-0.29607987126743,61
"62","63",1510,"City of Capitola",5,0.12,1263.10805298202,246.891947017981,0.0179063193763677,844.723444069513,0.000264873291590407,0.295235110774509,62
"63","64",1790.86,"City of Capitola",12,0.15,1248.23184377388,542.628156226116,0.0179005803801007,844.402096116072,0.00127904162807298,0.648876634763786,63
"64","65",906,"Unincorporated Areas",45,0.98,1170.34279379197,-264.34279379197,0.00462020857650641,844.71245119088,7.6268063749332e-05,-0.313986231436602,64
"65","66",890.9,"City of Santa Cruz",89,1.12,893.452082033412,-2.55208203341226,0.00790183489904736,844.807307916849,1.22386001166345e-08,-0.00303637107212839,65
"66","67",628.16,"City of Santa Cruz",202,2.53,666.550507485312,-38.3905074853122,0.0189484574249144,844.805286794434,6.79143803730069e-06,-0.0459320129820694,66
"67","68",1069.08,"City of Santa Cruz",163,2.03,744.670506373088,324.409493626912,0.0136863589092813,844.663122730374,0.000346552296996508,0.387100358508145,67
"68","69",679.5,"City of Santa Cruz",61,0.76,949.52356261845,-270.02356261845,0.00720957497434994,844.708071594164,0.000124830771515909,-0.321151837518553,68
"69","70",498.3,"City of Santa Cruz",9,0.11,1053.92198865267,-555.621988652673,0.00800888089777347,844.386689520401,0.000588083429293646,-0.66109377956774,69
"70","71",298.98,"City of Santa Cruz",138,1.73,795.040877988971,-496.060877988971,0.0110911342094153,844.47100788468,0.000653216582290802,-0.591145490093719,70
"71","72",525.48,"City of Santa Cruz",68,0.87,935.791805492816,-410.311805492816,0.00725973450527796,844.578130025774,0.000290269440351717,-0.488015630776413,71
"72","73",483.2,"City of Santa Cruz",190,2.42,691.214677995998,-208.014677995999,0.0170882289269539,844.747829119933,0.000179134720017399,-0.248641862961519,72
"73","74",600.98,"Unincorporated Areas",46,1.11,1170.01604574902,-569.036045749024,0.00453695511037502,844.367668221213,0.000346990496054395,-0.675872451498505,73
"74","75",377.5,"City of Santa Cruz",6,0.08,1060.05226715277,-682.552267152766,0.00811899319575298,844.172404536835,0.000899867739118826,-0.812163868531547,74
